NAME,Ku.FC.nonIR5,Ku.FC.IR5,Ku.FC.IR30,Ku.FC.IR2,Ku.FC.IR8,Ku.FC.IR24,Ku.FC.nonIR24
BCLAF1,0.291333333,1.875333333,0,1.820333333,2.734666667,0,0
CALR,0,0,0,1.791666667,5.046,0,0
ARPC4,0.471,0,0,1.790666667,2.744333333,0,0
SEPT2,0.891333333,0,0,1.789666667,4.934,0,0
ACTN1,0.118666667,0,0,1.767666667,3.286333333,0,0
TSFM,0.709,0,2.337,1.754666667,5.002,0,0
DDX47,1.385333333,0,2.480666667,1.725333333,5.122,1.863666667,2.058666667
CACYBP,0,0,0,1.719666667,0,0,0
JUP,0,1.778166667,4.262833333,1.7195,1.7385,0,0.532833333
PUS7,0,0,0,1.711333333,0,0,0
EPRS,1.025666667,0,0,1.710666667,0,0,0
H2BC10,0.9685,1.8845,2.213166667,1.709833333,3.511166667,1.920166667,2.076166667
HNRNPA3,0.094,1.687666667,0,1.709333333,4.253666667,1.602666667,1.606333333
ALDH7A1,0,0,0,1.688666667,2.588666667,0,0
PSMA3,0,0,0,1.686666667,0,0,0
RPS19,0,1.933333333,0,1.676666667,0,0,0
DDX18,1.220333333,0,2.867,1.660333333,5.785333333,0,2.547333333
IDH3B,0.619666667,0,2.136666667,1.656333333,5.076,0,0
WDR43,1.703666667,0,2.801666667,1.644,5.506,2.249666667,0
CSDE1,0,0,0,1.639,5.313666667,0,0
PAICS,0,0,0,1.586333333,2.038666667,0,0
CDK1,1.425333333,0,0,1.568666667,6.401,2.481333333,0
AIMP2,0.457,0,0,1.568666667,0,0,0
DRG1,0,0,0,1.555666667,2.391,0,0
PSMD3,0,0,0,1.552,0,0,0
DHX30,1.113333333,0,0,1.523333333,5.29,2.207333333,0
SF3B2,0.666333333,0,2.339666667,1.518333333,6.257333333,0,2.189333333
ELAVL1,2.915666667,0,0,1.513333333,6.083,2.106666667,0
HSP90B1,0,0,0,1.5125,5.575166667,0,0
PCBP1,0,0,0,1.476,5.342666667,0,0
GNAI2,1.174666667,0,2.664,1.467333333,5.343666667,0,0
ETF1,0,0,2.300666667,1.438,5.439,0,2.124666667
MRPL19,1.245,0,0,1.417666667,2.687,0,0
MRPS27,0.528666667,0,0,1.364,2.655333333,0,0
PSMD1,0,0,0,1.353666667,0,0,0
PTGES2,0,0,0,1.342666667,5.135666667,0,0
ALDH2,0,0,0,1.301,2.773,0,0
TBRG4,0.453666667,0,0,1.291666667,2.472333333,0,0
VASP,0,0,0,1.272,2.479,0,0
RSL1D1,1.393333333,0,0,1.270333333,2.745666667,0,2.498666667
GCN1L1,0,3.025666667,2.736333333,1.248333333,2.432666667,0,2.842666667
DAP3,0.660333333,0,0,1.23,2.053333333,0,0
RRP9,1.016,0,2.423,1.210333333,0,0,4.345666667
EXOSC9,0.401666667,0,1.981,1.207333333,2.106,0,0
EXOSC4,0.87,0,2.367333333,1.201666667,4.044666667,0,2.147666667
ACTL6A,3.574,0,2.798666667,1.192,5.730333333,0,0
NMT1,0,0,0,1.189333333,2.639666667,0,0
SYNCRIP,0.267333333,0,0,1.186333333,2.108666667,0,0
LAP3,0,0,3.069,1.186333333,0,0,0
HIST2H2AC,0.081,0.800333333,1.516,1.186,2.74,1.033,0.491333333
LGALS3,0.543333333,0,0,1.164,1.727333333,0,0
EEF2,0,0,1.136666667,1.163,4.703666667,0,0.791666667
RANGAP1,1.005333333,0,2.061666667,1.159,2.223333333,0,0
SF3B1,0,0,0,1.151333333,3.051666667,0,0
UTP4,0,0,0,1.136,2.215,0,0
EWSR1,0.342333333,0,0,1.111666667,2.398333333,0,0
EXOSC2,0.625666667,0,2.069333333,1.075666667,2.103,0,0
CBX3,1.32,1.764666667,0,1.072666667,4.597,0,0
EGFR,0.716666667,0,0,1.069666667,2.180333333,0,0
S100A9,0,2.1075,2.6155,1.0525,3.0665,2.0615,1.663166667
UTP18,1.111,1.955666667,0,1.017333333,4.596666667,0,0
RPS25,0.328833333,0,0,1.0085,1.922833333,0,0
HIST2H3D,0,1.335,0,0.988,2.610333333,0,1.275666667
PRPF6,0.959,0,0,0.959,2.47,0,0
RPF2,1.730666667,0,0,0.929666667,2.084666667,0,0
SLC7A5,0.841,0,0,0.914333333,5.51,0,0
RPL19,1.248,0,0,0.908,2.864,0,0
MTREX,0,0,0,0.882333333,2.145,0,0
RPL36,1.254333333,0,2.032,0.87,2.416333333,0,0
USP10,0,0,0,0.868,2.329333333,0,0
ZC3HAV1,0,0,0,0.863,4.376333333,0,0
CS,0,0.494,1.017333333,0.860333333,5.569,1.342333333,3.745
WDR74,3.027,3.658333333,2.363,0.849666667,4.845,3.717666667,3.892
GRWD1,0.307333333,0,1.968333333,0.833,0,0,0
HIST1H2BH,0,1.531833333,0,0.818833333,1.139833333,0.428166667,0.5775
PPIH,0,0,0,0.808,1.941,0,0
RAB5C,1.112666667,0,1.927,0.800666667,5.790333333,2.621,0
KPNA4,0.201333333,0,0,0.796666667,1.911333333,0,0
MRPL1,0,0,2.131333333,0.787666667,0,0,0
NUP85,0.875,0,2.250333333,0.774666667,1.958666667,0,0
