NAME,S6.FC.nonIR5,S6.FC.IR5,S6.FC.IR30,S6.FC.IR2,S6.FC.IR8,S6.FC.IR24,S6.FC.nonIR24
UTP3,0,1.829333333,0,1.132666667,0,0,0
PSMC6,0,2.028,0,1.128333333,0,0,0
RBM39,1.365666667,1.101666667,1.077,1.109333333,3.008666667,1.173333333,2.243
PDCD6,1.588666667,1.103666667,1.162666667,1.027,1.469666667,2.442333333,1.874666667
CAVIN1,0,0,0,1.026333333,2.559,0,0
PGK1,0,0,0,1.012,0,0,1.909
RFC3,4.79325,0.713166667,3.6585,0.994166667,4.144833333,2.236833333,3.443833333
SCML2,0,0,0,0.976666667,2.479666667,0,0
RRP8,0,0,0,0.937,0,0,1.632666667
GNL2,2.394666667,1.246666667,2.128666667,0.899666667,2.325333333,0,0
HDAC1,0,0,0,0.888,0,0,1.788
HNRNPK,3.2415,3.028,3.463666667,0.883333333,3.585,2.85,1.498666667
NUDT21,1.172666667,1.185,1.189,0.880666667,3.575,3.572333333,2.225333333
NOL11,0,0,0,0.828666667,2.094666667,0,0
IQGAP1,0,0,0,0.822,2.471666667,0,0
RPL6,0,0.88,0,0.818,2.512666667,0,0
DLD,0,0,0,0.812666667,2.385,0,1.023333333
DDX51,0,1.754666667,0,0.811333333,1.829,0,0
RUVBL1,1.286333333,1.376666667,1.337666667,0.802333333,2.998333333,1.923333333,2.344666667
DKC1,0,1.236666667,0,0.787666667,0,0,0
RPL27,3.616666667,2.138666667,2.374,0.745666667,3.897,3.257666667,2.542666667
ANXA2,1.88175,3.243166667,3.229166667,0.670833333,3.8775,2.8885,3.095833333
PELO,0,0,0,0.665333333,1.874666667,0,0
SAP18,0,0,1.119333333,0.618333333,2.051333333,0,0.935
CBX3,1.127666667,1.206666667,0.903333333,0.617,1.477,1.437333333,0.966666667
RAP1B,0.967333333,1.201333333,0.909666667,0.597,1.583333333,0,1.105333333
NUP98,1.165,2.725,0,0.590666667,1.756,1.407,0
TPT1,0.21625,0.6875,0.7235,0.587833333,4.384833333,2.082166667,3.342833333
SRPR,0,0,0,0.583,1.858,0,0
GTPBP4,1.346666667,1.127333333,0.946,0.534666667,2.224,1.077666667,0.917333333
HSPA9,3.295333333,3.026833333,3.4995,0.5345,3.7455,3.0765,3.306833333
NMT1,0,0,0,0.528333333,2.060333333,0,0
RSL1D1,1.326333333,1.229666667,0,0.496333333,1.018333333,1.003,0
USP10,0,0,0,0.482333333,1.947333333,0,0
