NAME,Mre.FC.nonIR5,Mre.FC.IR5,Mre.FC.IR30,Mre.FC.IR2,Mre.FC.IR8,Mre.FC.IR24,Mre.FC.nonIR24
RPL3,0,0,0,0,0,63.08283333,0
UQCRC2,62.40633333,50.76666667,0,0,0,62.65133333,0
BUB3,0,0,0,0,44.27816667,61.74366667,0
RAN,0,0,0,0,0,60.47766667,0
FBL,46.71633333,51.50366667,0,0,0,58.585,0
EMG1,0,0,0,0,45.122,56.97766667,0
HADH,0,36.653,0,0,51.06733333,56.339,0
EXOSC6,0,0,0,0,37.81166667,56.29266667,0
SNRNP200,0,0,0,0,48.55383333,54.44533333,0
RCC1,0,0,0,0,0,54.0705,0
SF3B3,50.45666667,0,0,0,46.42333333,53.02233333,0
RCC2,45.00716667,50.15416667,0,0,46.32583333,52.35583333,0
DDX5,0,48.592,0,0,50.994,52.00116667,0
TARDBP,0,0,0,0,44.53933333,51.43666667,0
RPL13,0,43.53366667,0,0,0,50.68616667,0
NUP133,0,0,0,0,31.963,50.656,0
RPL7A,0,0,0,0,42.24083333,50.64266667,0
NAT10,0,0,0,0,51.44,50.534,0
CDC5L,0,0,0,0,38.54166667,50.28366667,0
NOP58,0,0,0,0,27.47383333,49.78116667,0
SF3A3,0,0,0,0,0,49.71,0
AZGP1,0,0,0,0,0,49.65233333,0
PTBP1,0,0,0,0,0,49.49033333,0
TUBB3,0,36.37666667,0,0,44.43466667,49.18666667,0
NUP43,0,0,0,0,0,46.086,0
SMU1,43.117,0,0,0,56.88766667,45.83683333,0
PHB,45.11083333,0,0,0,0,44.9985,0
CSTF1,0,0,0,0,0,44.84133333,0
HNRNPA3,31.11033333,0,0,0,0,44.609,0
SF3B1,0,0,0,0,19.17866667,42.81,0
RBBP4,0,0,0,0,0,41.35733333,0
H1-5,0,0,0,0,0,40.38633333,0
HNRNPD,0,0,0,0,0,37.943,0
RSL1D1,50.14533333,31.41666667,0,0,51.12666667,37.711,0
KPNB1,0,0,0,0,25.86033333,37.61166667,0
SRRM2,0,0,0,0,0,37.57366667,0
HSPA6,0,0,0,0,31.26116667,37.381,0
